frame,time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,RightFoot_End.x,RightFoot_End.y,RightFoot_End.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftFoot_End.x,LeftFoot_End.y,LeftFoot_End.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Head_End.x,Head_End.y,Head_End.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHand_End.x,RightHand_End.y,RightHand_End.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHand_End.x,LeftHand_End.y,LeftHand_End.z
0,0.0,-9.23872e-07,103.511,-4.17233e-07,-10.47869813198329,99.20366565991398,-0.2290229042019146,-9.359060543329,55.27792948511983,2.844218757476676,-6.490465235634986,13.510303810606942,-21.019568121450316,-5.733831979127481,7.908835688339238,-6.253016019135925,11.016872462427308,100.89173668449013,-0.4202813594315103,8.362705052336292,57.45362937107558,-7.221379030110627,4.6065041032188185,12.367434547611985,-24.66901205591197,3.330727547105522,8.053178785436465,-9.511189276983359,-0.5207560012292302,109.74067874674638,-3.5438298501125045,1.15613412129338,133.31461072132294,-1.972245184902309,1.3919581995805612,154.13779099775775,-6.935395745513619,1.7660498839293355,169.16374287217582,1.6393347477306488,2.3483463473241204,189.15284638579809,1.9502552366211927,-5.058020164602338,149.58982591233752,1.5408357085802922,-18.720150865975718,149.01512777242644,-1.8048711346852353,-26.374833399962203,121.43486358601098,-2.841313976221702,-29.07260695519561,96.81895482335513,1.7703137358546268,-29.5441402249707,81.96392751316185,3.796596043162042,6.342250425047018,149.70084807595964,2.548319316169336,20.05415939547155,150.67730851275823,-0.4861369673612619,26.623659600798284,122.00797569860505,-2.703718706651139,24.714174448792708,98.03518826633237,2.6372682072949454,23.202654542972823,83.21332298123563,4.3772731052059655
1,0.0416667,0.318938,103.465,1.29419,-10.21168091129324,99.28401379367085,1.109540917414643,-8.875328259423446,55.67336999298108,7.150617809643781,-6.410356390829721,15.128276527861743,-18.777417737234412,-6.03358473608162,8.538021875975662,-4.409864474988531,11.30199077077905,100.71171456064444,0.846253933338385,8.599741594135065,57.3939023581388,-6.665982518904452,4.631472585927144,12.545902946326457,-24.671639887328336,3.321243941462688,8.205261345019807,-9.524292548991143,-0.13780107190849278,109.69121437083912,-2.264525247972037,1.5522767617208901,133.25006165568348,-0.4935201348919622,1.8411618339897193,154.1028532418854,-5.327870327580333,2.1284189156540227,169.08627853059403,3.3242754952269156,2.726752436353471,189.0761930084762,3.5371514331917577,-4.690838830643347,149.50571890162558,3.0585490606232595,-18.31100680658912,148.95289526346951,-0.4575934089898728,-25.972842509496743,121.38895269448406,-1.8231316793004524,-28.808100068250386,96.73541817842172,2.4957347185356635,-29.35144400707249,81.86209000020848,4.363590780258155,6.699300066554892,149.60691546843546,4.1756944473109545,20.44831788291962,150.60775746028094,1.3225081710324322,27.107064505764715,121.98647535421678,-1.2250298060624991,25.335749902888935,97.90372992047655,3.64843189840458,23.986128901345293,83.03454515323139,5.092685169031643
2,0.0833334,0.555695,103.502,2.67842,-10.041886780432316,99.49274930750097,2.5176565469202448,-8.414644495817615,56.4778480760049,11.857841541363605,-6.100410871458752,16.195122045787514,-14.48964456328655,-6.024596498297723,9.229770976313867,-0.295345120911648,11.491576443261037,100.57018801929496,2.2097504310771994,8.748092781540372,57.383827719921726,-6.010972324813324,4.623702012298939,12.819535276619831,-24.67396102552687,3.2960236939438854,8.419789221727045,-9.545196867955205,0.1930063228801857,109.73284734900001,-0.8830134788885964,1.9654211363329537,133.25965591621951,1.2050315290937714,2.3384574787677876,154.15827687904,-3.4211763183427477,2.504778145348782,169.07464411416055,5.34920014423225,3.105064386026856,189.06502132056843,5.505646859700942,-4.315227445502502,149.48548709884795,4.826624575148269,-17.873543012056043,148.94192401511788,1.077695967364745,-25.519292743757756,121.39125063867256,-0.6082039694556309,-28.480628657398164,96.71057951925765,3.464021370989818,-29.088983299696626,81.82509892601986,5.211125299648558,7.058001787740511,149.56568022891156,6.105977742806486,20.858129149121435,150.58742664183325,3.5194034423373934,27.612872246972856,122.01715036078517,0.669946540836706,25.929369956109635,97.83872903209243,5.078639558328183,24.695242429215963,82.93476064398023,6.2399558518138685
3,0.1250001,0.706816,103.537,4.17357,-9.956326708728914,99.70639910290357,3.9931262787283077,-8.120953423344785,57.58387380377874,16.740399260292293,-5.582457216290672,16.211453656689088,-7.838506449845859,-5.783171069713549,9.539527908579945,6.494850475897753,11.59240612985037,100.42370822108899,3.7045098542080788,8.809658427117768,57.378034790559504,-5.211487861906969,4.602014831738694,13.15696963222215,-24.65594823160729,3.25294142636365,8.674306927434891,-9.553440624523656,0.45142740520309166,109.78340761629725,0.6301283475508748,2.303612509720267,133.26112909720555,3.155620772485445,2.746828576412252,154.22119230501465,-1.177117755394359,2.821661967596647,169.0484551684892,7.7443088846331545,3.3968900632652637,189.03984417127558,7.860405298123452,-3.995016006123045,149.44329404500527,6.93780225788606,-17.510500925111696,148.9662369811149,3.028591148610608,-25.171803732257363,121.45008988582774,0.9059891180587538,-28.238521036648795,96.72702157396408,4.627977127627472,-28.903054934816403,81.82349588589857,6.191088372343391,7.364804064933219,149.49142345519257,8.332682242222441,21.196010488243516,150.53897189667018,5.928889681904941,28.003216861251985,122.0085728607359,2.8168295969237676,26.365173095197832,97.76999097489198,6.900305177521078,25.20715169946841,82.84820846769296,7.90000175893065
4,0.1666668,0.818895,103.425,5.87701,-9.900998147933532,99.76097823677512,5.617181187888779,-8.0802583792594,58.79365655318573,21.696116535314598,-5.1235884450137075,15.305554904000381,1.146497668327033,-5.543567107815946,9.498278467520908,15.846809172274867,11.65743497812284,100.14696907475343,5.441992768317086,8.823760533342679,57.26290597477411,-4.206640415539421,4.615833863048437,13.487312970984945,-24.634188426412678,3.2071806106672964,8.891066974306886,-9.571312912335795,0.6781178024958365,109.69791564829723,2.3742223619022296,2.585747543750821,133.10580742689967,5.447276028276276,3.0697283360064413,154.13849371870285,1.4868236233832315,2.9745081549424692,168.86321276756897,10.576309824565225,3.450913733134109,188.8573243156262,10.668728052818514,-3.768795607243562,149.21702943858278,9.433299986973498,-17.230549829739406,148.82124858786744,5.334229567253629,-24.874131977970688,121.34782868972758,2.6647348405133773,-28.03184322376324,96.5728789228681,5.93868967515742,-28.74547022540946,81.64840297989807,7.2618504100003864,7.572927966367971,149.24519741640626,10.968888344056802,21.433465517779087,150.36325522279574,8.774966499050938,28.341185125203246,121.88356030122135,5.428769743604869,26.70641213537339,97.60606337267636,9.275518005424907,25.587518472905252,82.67658849794049,10.202263351633226
5,0.2083335,0.844662,103.129,7.71847,-9.929674601255867,99.63417773111989,7.388979927495753,-8.405024040909478,59.891940751258865,26.320401998857083,-5.489393012250178,14.180142524730002,11.347950084416645,-5.861000284082528,9.510922706464175,26.449615367564558,11.63256702894836,99.68877551417809,7.277294105777569,8.752845199886456,56.97488479769317,-3.086076156161024,4.5667435355715575,13.720007699713143,-24.59853923055496,3.1315500484572896,9.018494459843573,-9.570698636847691,0.8108911143987928,109.44125798771655,4.284366214236638,2.8131440174359277,132.7508738474816,7.980972680628233,3.331947656011694,153.86166070523285,4.465459298588728,3.115500775132024,168.46538927750683,13.746054101051877,3.4856098325109244,188.46178287637343,13.831273376172282,-3.5620112034507248,148.77838458438137,12.26073620856576,-16.992407507987558,148.49853404072337,8.050749710867976,-24.629546787377976,121.09236374966835,4.746920923348022,-27.88293806984159,96.25860478441507,7.427950080294304,-28.65821756498646,81.31068294619224,8.4070182203075,7.769085569838753,148.76841886608298,13.873083955302658,21.643078421949767,149.96344515322386,11.808602895298765,28.624873104721544,121.53429609874185,8.196861933855946,26.941596961891072,97.2386613002952,11.905705850912804,25.805360561767323,82.31200089468143,12.856377181350265
6,0.2500002,0.757385,102.533,9.77743,-10.041882380864125,99.1296778561303,9.328099367001087,-8.575659812429535,60.54892136555918,30.530554911906545,-4.851644163074202,13.1028201468202,22.964650847425457,-5.303057724251069,10.016978771413505,38.465418854289304,11.520407227111983,99.01490250365586,9.342667833969513,8.64912167412017,56.51681286751304,-1.8750323621569098,4.545815730454509,13.904074042018543,-24.648070753100072,3.051790827115026,9.057931321824576,-9.671996824205609,0.7935296096638426,108.90058893134822,6.447067413709456,2.8458156854444696,132.0972149019699,10.773356011010458,3.404948671247798,153.27207331660054,7.673992409780086,3.118743414840364,167.76228805624254,17.128987951961292,3.417127710995698,187.7599091440552,17.207203296223735,-3.5274560371408064,148.04617071767694,15.33978747393847,-16.93528784010456,147.92323714099967,11.051106882700745,-24.547602541286174,120.59645222290365,7.0965093073898435,-27.8722822969128,95.71184188469067,9.143636406359006,-28.69498061297086,80.74665050078964,9.748792852221941,7.796840704610048,147.98990295663802,16.998297619050245,21.67247201752118,149.30115304267903,15.017053965554394,28.796586807264536,120.91639577930573,11.334773518760974,27.02896404662652,96.65249751331645,15.208474946000901,25.86363806563543,81.74608891534727,16.40889073580784
7,0.2916669,0.813529,101.821,12.2196,-9.999334121712714,98.4800622278012,11.646187836280543,-8.741666053134127,60.83028563179615,34.473392974860545,-4.4061556957085255,12.83605085001335,34.49565011226792,-5.002626604255507,11.413407922401543,50.23160605894536,11.561776674399677,98.25969499219615,11.771320882424678,8.642459742835316,56.02585053382644,-0.3920944298114897,4.575392280106894,14.224273377969098,-24.62803916008806,3.00829255349387,9.124355422562802,-9.74398610673684,0.8978583000214039,108.25320279102861,9.016715985265524,2.9213761530627207,131.31838796203215,14.008180310555481,3.4869439208340514,152.55961652449264,11.403635136159226,3.080511953589561,166.88391334337413,21.1038676618765,3.254854732764158,186.88213149792756,21.306043917256968,-3.48834329953242,147.15448206750904,18.90447486750402,-16.866237794771823,147.20716989044905,14.52189453143977,-24.446154484535143,119.99680436508555,9.780563283286146,-27.861503670672917,95.07234787612643,11.043462799572064,-28.744100694464095,80.09895160933242,11.179207895814994,7.825825818016698,147.06472591941457,20.629305198573412,21.70784787173759,148.52715183575003,18.804854137641097,29.04120706553433,120.22285937484125,14.919559174707228,27.216412714485376,95.96572260601111,18.809064720178668,26.022723133836642,81.07517480440555,20.167994943976133
8,0.3333336,0.753666,100.911,15.315,-10.065841189722153,97.60629442360437,14.662419873891938,-8.6699658669579,60.56879220422192,38.462496818539904,-3.6052387542648505,13.060740939237832,44.753547764605756,-4.325876238535082,13.135034109888455,60.54833051528198,11.494426681560338,97.3329014625394,14.823119492385857,8.494415483489977,55.386938676639495,1.7195001483275796,4.576956344214646,14.70674749130167,-24.377807499186005,2.8912300002985143,9.124454363170152,-9.68099389469871,0.8589504636920001,107.39894458875074,12.227233755187248,2.8316045776669796,130.35940279977632,17.698805930646937,3.4070188393194174,151.63773127646598,15.419562860308693,2.938974268776595,165.86956694180265,25.252210785828915,3.0268964334233615,185.8684450401813,25.44493986810076,-3.591774561313814,146.12000732321042,22.815799760984767,-16.950555619568295,146.31533285622206,18.379284900390363,-24.423340924230654,119.2183812459609,12.879099060443762,-27.88317314098231,94.27189678299223,13.315597047030536,-28.797660046818372,79.3045617086876,12.937980214056845,7.717027895723692,146.0025051678829,24.57383812484256,21.60128570245429,147.56194473225403,22.84948870091063,29.075066636288515,119.31995925120438,18.78261024586226,27.26789115710593,95.05937277053295,22.658803279614283,26.089086224547426,80.18013207533004,24.148304963129085
9,0.3750003,0.644541,100.154,18.863,-10.185807480114367,96.88143804460623,18.22851939076537,-8.405028651328536,60.065529025397,42.344621293661746,-2.6933354504037004,13.217995214446859,52.0877652594868,-3.4699309441232318,14.064246170660649,67.85738030736421,11.374431699316418,96.56281270050404,18.245347219901856,8.386826296690455,54.888609921258585,4.298887532541922,4.728565978514817,15.648566268222524,-23.95230736227245,2.961701162925109,9.273268427796971,-9.591465946488471,0.74345653189298,106.68956563580885,15.877131998030585,2.655679489883706,129.55284445040274,21.761517504604335,3.2207212232318803,150.85897750921094,19.75584175113994,2.757328273373309,165.00418619714333,29.712925435696555,2.7650585830116516,185.00322208650587,29.90914913024228,-3.751211040415498,145.244917554293,27.104800746378626,-17.11667251841963,145.54578796629244,22.69438534534542,-24.45793208454785,118.57572763377021,16.444496970726007,-27.939427323505985,93.63251860881718,15.99330858422077,-28.877955575756914,78.69144109212776,15.053432337045153,7.563766151178573,145.10640679177095,28.82108294344632,21.441765716041584,146.6861881081464,27.065159652242173,28.924184463597946,118.49971070917256,22.644464316635677,27.220722814778053,94.205797959341,26.35537171889932,26.110117045188936,79.32526353827515,27.883851410628985
